# time,x,y,z
1.560801325563161850e+09,1.131399750709533691e+00,4.855420440435409546e-02,4.909324049949645996e-01
1.560801326062780380e+09,1.020406126976013184e+00,-1.041054073721170425e-02,8.860374093055725098e-01
1.560801326571384430e+09,1.073917865753173828e+00,1.062787231057882309e-02,1.042463898658752441e+00
1.560801327062111378e+09,1.043972492218017578e+00,-4.068336635828018188e-02,1.059859037399291992e+00
1.560801327561305285e+09,1.000383019447326660e+00,2.325690351426601410e-02,1.061263084411621094e+00
1.560801328061172962e+09,1.042829036712646484e+00,-2.831276692450046539e-02,1.048150181770324707e+00
1.560801328560469389e+09,9.897470474243164062e-01,1.341852010227739811e-03,9.809936881065368652e-01
1.560801329066327810e+09,9.560532569885253906e-01,8.346264809370040894e-02,1.017049670219421387e+00
1.560801329558773041e+09,9.782139658927917480e-01,1.264283526688814163e-02,1.013142704963684082e+00
1.560801330058974504e+09,9.812235832214355469e-01,-2.460265718400478363e-02,1.051455855369567871e+00
1.560801330559073210e+09,8.835800886154174805e-01,-3.520485479384660721e-04,1.223925232887268066e+00
1.560801331057088614e+09,9.436311721801757812e-01,-7.533974014222621918e-03,1.461150765419006348e+00
1.560801331557225466e+09,1.018833994865417480e+00,-1.482448074966669083e-02,1.485916018486022949e+00
1.560801332057489634e+09,9.657056927680969238e-01,-1.540557295083999634e-02,1.420730233192443848e+00
1.560801332557393551e+09,9.883509874343872070e-01,-1.035787537693977356e-02,1.425319910049438477e+00
1.560801333055091619e+09,1.002430558204650879e+00,-4.333140794187784195e-03,1.438132643699645996e+00
1.560801333554907322e+09,9.867756366729736328e-01,-7.757179439067840576e-03,1.410881280899047852e+00
1.560801334053852320e+09,9.553479552268981934e-01,-3.088448138441890478e-04,1.379186987876892090e+00
1.560801334557206869e+09,1.015669703483581543e+00,-1.942005194723606110e-02,1.431297421455383301e+00
1.560801335053076029e+09,9.859080910682678223e-01,8.234257809817790985e-03,1.435037374496459961e+00
1.560801335552360773e+09,7.279690504074096680e-01,1.566615328192710876e-02,1.423289060592651367e+00
1.560801336052521467e+09,1.534700989723205566e-01,4.249769449234008789e-02,1.403902173042297363e+00
1.560801336551725149e+09,8.492238819599151611e-02,-1.755385543219745159e-03,1.401603460311889648e+00
1.560801337050777674e+09,6.727357208728790283e-02,-3.366011008620262146e-02,1.363061428070068359e+00
1.560801337551672220e+09,-3.511495515704154968e-02,-8.562474697828292847e-02,1.401838183403015137e+00
1.560801338049736023e+09,-1.449644658714532852e-02,-3.665708005428314209e-02,1.403893470764160156e+00
